delay,LSTM_200,LSTM_500,LSTM_1000,LSTM_1500
1,-31.200000000000003,-30.400000000000002,-30.400000000000002,-31.6
2,-103.60000000000001,-66.0,-64.0,-103.60000000000001
3,-48.800000000000004,-42.400000000000006,-41.6,-51.2
4,-149.6,-148.8,-148.4,-151.6
5,72.4,99.2,99.2,72.4
6,-164.8,-143.6,-140.4,-145.20000000000002
7,-116.0,-114.80000000000001,-114.80000000000001,-137.6
8,-46.0,-44.400000000000006,-43.6,-46.0
9,71.2,72.8,73.60000000000001,68.8
10,-49.6,-30.8,-29.200000000000003,-50.400000000000006
