delay,MLP_200,MLP_500,MLP_1000,MLP_1500
1,-61.6,-34.0,-67.2,-34.0
2,-90.80000000000001,-35.6,-53.2,-47.2
3,-80.0,-18.0,-59.6,-40.800000000000004
4,-155.60000000000002,-122.4,-96.0,-106.80000000000001
5,42.800000000000004,117.60000000000001,56.0,62.800000000000004
6,-214.0,-123.2,-132.4,-122.4
7,-141.20000000000002,-83.60000000000001,-96.4,-70.8
8,-55.6,-29.200000000000003,-57.6,-100.0
9,78.80000000000001,128.0,-1.2000000000000002,20.8
10,-38.400000000000006,22.400000000000002,-1.2000000000000002,-12.4
