delay,TCN_200,TCN_500,TCN_1000,TCN_1500
1,-57.6,-31.6,-20.400000000000002,12.0
2,-85.2,-67.60000000000001,-74.4,-58.400000000000006
3,-76.0,-56.800000000000004,-97.2,-36.4
4,-162.0,-140.4,-151.20000000000002,-122.80000000000001
5,61.2,78.80000000000001,106.0,130.0
6,-196.8,-188.0,-223.60000000000002,-175.20000000000002
7,-131.6,-113.60000000000001,-135.20000000000002,-99.60000000000001
8,-62.0,-23.200000000000003,-25.6,-2.0
9,80.0,105.60000000000001,96.4,137.20000000000002
10,-45.6,-20.400000000000002,-18.8,26.8
