delay,TCN_200,TCN_500,TCN_1000,TCN_1500
1,-21.6,-84.4,-75.2,-58.800000000000004
2,-49.6,-105.60000000000001,-105.60000000000001,-104.0
3,-34.4,-91.60000000000001,-86.80000000000001,-71.60000000000001
4,-138.8,-167.60000000000002,-172.0,-164.0
5,100.80000000000001,52.400000000000006,117.60000000000001,102.80000000000001
6,-138.4,-222.0,-215.20000000000002,-209.60000000000002
7,-101.60000000000001,-148.8,-158.8,-159.20000000000002
8,-12.0,-60.400000000000006,-82.80000000000001,-50.0
9,96.0,84.4,97.2,108.4
10,-26.0,-41.2,-22.400000000000002,-6.800000000000001
