delay,XGBoost_200,XGBoost_500,XGBoost_1000,XGBoost_1500
1,-144.8,-108.80000000000001,-51.6,-40.400000000000006
2,-403.20000000000005,-135.6,-134.8,-142.4
3,-351.20000000000005,-129.20000000000002,-128.8,-126.80000000000001
4,-210.0,-97.2,-105.2,-96.80000000000001
5,-58.400000000000006,36.0,63.6,62.800000000000004
6,-494.8,-164.0,-138.8,-138.8
7,-226.0,-232.0,-233.60000000000002,-229.20000000000002
8,-144.0,-102.4,-55.2,24.400000000000002
9,17.2,14.8,14.8,6.4
10,-124.80000000000001,-90.4,-95.60000000000001,-89.2
