delay,XGBoost_200,XGBoost_500,XGBoost_1000,XGBoost_1500
1,-124.80000000000001,-89.60000000000001,-38.400000000000006,-24.400000000000002
2,-341.20000000000005,-78.4,-52.400000000000006,-134.0
3,-114.80000000000001,-114.80000000000001,-110.80000000000001,21.200000000000003
4,-143.20000000000002,-95.60000000000001,-88.0,-96.0
5,35.6,36.4,63.6,64.8
6,-162.8,-175.20000000000002,-142.4,-94.0
7,-180.4,-150.0,-116.80000000000001,-134.8
8,-60.800000000000004,-40.0,18.8,34.4
9,29.6,28.8,30.400000000000002,23.6
10,-84.80000000000001,-68.4,-78.80000000000001,-57.2
